Year,Years_Since_1960,Cubic_Pred,Logistic_Pred,Best_Prediction,Lower_95,Upper_95
2023,63,7.991185635073634,7.978570514233081,7.991185635073634,7.962275446359395,8.020095823787875
2024,64,8.068659097094496,8.053697234331674,8.068659097094496,8.039748908380256,8.097569285808737
2025,65,8.145534621049592,8.12809292803608,8.145534621049592,8.116624432335351,8.174444809763832
2026,66,8.221787232228962,8.20173876934371,8.221787232228962,8.192877043514722,8.250697420943203
2027,67,8.297391956068168,8.274616906010335,8.297391956068168,8.268481767353927,8.326302144782408
2028,68,8.372323817813594,8.346710466198777,8.372323817813594,8.343413629099354,8.401234006527835
2029,69,8.446557842784387,8.418003562740795,8.446557842784387,8.417647654070146,8.475468031498627
2030,70,8.520069056430657,8.488481295069187,8.520069056430657,8.491158867716416,8.548979245144897
2031,71,8.59283248399879,8.558129748884772,8.59283248399879,8.56392229528455,8.621742672713031
2032,72,8.66482315085159,8.626935993630214,8.66482315085159,8.635912962137349,8.69373333956583
2033,73,8.736016082322749,8.694888077849157,8.736016082322749,8.707105893608508,8.76492627103699
2034,74,8.806386303745967,8.761975022514907,8.806386303745967,8.777476115031726,8.835296492460207
2035,75,8.875908840484044,8.82818681241819,8.875908840484044,8.846998651769804,8.904819029198284
2036,76,8.944558717797918,8.893514385707745,8.944558717797918,8.915648529083677,8.973468906512158
2037,77,9.0123109611377,8.957949621681516,9.0123109611377,8.98340077242346,9.04122114985194
2038,78,9.079140595735225,9.021485326929067,9.079140595735225,9.050230407020985,9.108050784449466
2039,79,9.14502264699695,9.084115219928435,9.14502264699695,9.116112458282709,9.17393283571119
2040,80,9.209932140227465,9.145833914202285,9.209932140227465,9.181021951513225,9.238842328941706
2041,81,9.273844100731367,9.206636900139479,9.273844100731367,9.244933912017126,9.302754289445607
2042,82,9.336733553958766,9.266520525588618,9.336733553958766,9.307823365244525,9.365643742673006
2043,83,9.398575525126944,9.325481975330218,9.398575525126944,9.369665336412703,9.427485713841184
2044,84,9.45934503958415,9.383519249533563,9.45934503958415,9.43043485086991,9.48825522829839
2045,85,9.519017122736841,9.440631141303212,9.519017122736841,9.4901069340226,9.547927311451081
2046,86,9.57756679988961,9.496817213418716,9.57756679988961,9.54865661117537,9.60647698860385
2047,87,9.634969096361601,9.55207777436905,9.634969096361601,9.60605890764736,9.663879285075842
2048,88,9.691199037486513,9.606413853781042,9.691199037486513,9.662288848772272,9.720109226200753
2049,89,9.746231648656249,9.659827177338288,9.746231648656249,9.717321459942008,9.775141837370489
2050,90,9.800041955117194,9.712320141284142,9.800041955117194,9.771131766402954,9.828952143831435
2051,91,9.852604982290359,9.763895786599045,9.852604982290359,9.823694793576118,9.8815151710046
2052,92,9.903895755480335,9.81455777293896,9.903895755480335,9.874985566766094,9.932805944194575
2053,93,9.953889299991715,9.864310352417952,9.953889299991715,9.924979111277475,9.982799488705956
2054,94,10.00256064117275,9.91315834331408,10.00256064117275,9.973650452458509,10.03147082988699
2055,95,10.049884804415342,9.961107103773774,10.049884804415342,10.020974615701101,10.078794993129582
2056,96,10.095836815009534,10.008162505585684,10.008162505585684,9.979252316871444,10.037072694299924
2057,97,10.140391698303574,10.054330908090876,10.054330908090876,10.025420719376635,10.083241096805116
2058,98,10.18352447963116,10.099619132291956,10.099619132291956,10.070708943577715,10.128529321006196
2059,99,10.225210184296884,10.144034435219506,10.144034435219506,10.115124246505266,10.172944623933747
2060,100,10.265423837692651,10.187584484609921,10.187584484609921,10.15867429589568,10.216494673324162
2061,101,10.304140465123055,10.23027733394458,10.23027733394458,10.20136714523034,10.25918752265882
2062,102,10.341335091950896,10.272121397896084,10.272121397896084,10.243211209181844,10.301031586610325
2063,103,10.376982743480767,10.313125428223282,10.313125428223282,10.284215239509042,10.342035616937522
2064,104,10.411058445060917,10.3532984901527,10.3532984901527,10.324388301438459,10.38220867886694
2065,105,10.443537221995939,10.392649939280224,10.392649939280224,10.363739750565983,10.421560127994464
2066,106,10.474394099706842,10.431189399023042,10.431189399023042,10.402279210308802,10.460099587737282
2067,107,10.503604103469115,10.46892673864818,10.46892673864818,10.44001654993394,10.497836927362421
2068,108,10.531142258587352,10.505872051900596,10.505872051900596,10.476961863186355,10.534782240614836
