index,City,Date,Card Type,Exp Type,Gender,Amount,Year,Month,Day,DayOfWeek,Is_Weekend,City_Code,Card Type_Code,Exp Type_Code,Gender_Code,Customer_ID,AE_Fraud
19373,Achalpur,2013-12-06,Silver,Grocery,F,201032,2013,12,6,4,0,0,3,4,0,1,0
17041,Achalpur,2014-02-06,Platinum,Grocery,F,178612,2014,2,6,3,0,0,1,4,0,1,0
18871,Achalpur,2014-04-19,Signature,Fuel,M,138246,2014,4,19,5,1,0,2,3,1,1,0
15604,Achalpur,2014-05-29,Gold,Entertainment,F,55347,2014,5,29,3,0,0,0,1,0,1,0
18206,Achalpur,2014-05-30,Signature,Grocery,F,216180,2014,5,30,4,0,0,2,4,0,1,0
14133,Achalpur,2014-07-24,Signature,Grocery,M,192579,2014,7,24,3,0,0,2,4,1,1,0
15170,Achalpur,2014-10-28,Gold,Bills,M,173336,2014,10,28,1,0,0,0,0,1,2,0
19576,Achalpur,2015-04-05,Gold,Bills,F,209805,2015,4,5,6,1,0,0,0,0,3,0
17004,Achalpur,2015-04-20,Gold,Bills,M,241504,2015,4,20,0,0,0,0,0,1,3,0
19771,Adilabad,2013-10-20,Signature,Food,M,80193,2013,10,20,6,1,1,2,2,1,4,0
18182,Adilabad,2013-10-21,Signature,Grocery,F,258225,2013,10,21,0,0,1,2,4,0,4,0
19375,Adilabad,2013-12-30,Signature,Bills,M,189159,2013,12,30,0,0,1,2,0,1,4,0
16143,Adilabad,2014-02-14,Signature,Entertainment,M,178349,2014,2,14,4,0,1,2,1,1,4,0
18118,Adilabad,2014-06-02,Platinum,Entertainment,M,108313,2014,6,2,0,0,1,1,1,1,5,0
17134,Adilabad,2014-08-13,Platinum,Bills,F,278085,2014,8,13,2,0,1,1,0,0,5,0
18323,Adilabad,2014-10-18,Signature,Grocery,F,227325,2014,10,18,5,1,1,2,4,0,5,0
14894,Adilabad,2015-02-14,Platinum,Bills,F,278459,2015,2,14,5,1,1,1,0,0,6,0
19457,Adilabad,2015-02-20,Gold,Grocery,M,49020,2015,2,20,4,0,1,0,4,1,6,0
19857,Adilabad,2015-03-20,Silver,Bills,F,122336,2015,3,20,4,0,1,3,0,0,6,0
19716,Adityapur,2013-11-12,Signature,Food,F,296944,2013,11,12,1,0,2,2,2,0,7,0
19894,Adityapur,2014-04-19,Gold,Fuel,F,209829,2014,4,19,5,1,2,0,3,0,8,0
14862,Adityapur,2014-04-27,Platinum,Grocery,M,17703,2014,4,27,6,1,2,1,4,1,8,0
17435,Adityapur,2014-04-28,Gold,Entertainment,M,226592,2014,4,28,0,0,2,0,1,1,8,0
14827,Adityapur,2014-08-05,Silver,Grocery,M,162636,2014,8,5,1,0,2,3,4,1,9,0
14599,Adityapur,2014-09-17,Gold,Fuel,M,50289,2014,9,17,2,0,2,0,3,1,9,0
15900,Adoni,2013-12-30,Signature,Entertainment,M,116961,2013,12,30,0,0,3,2,1,1,10,0
16645,Adoni,2014-01-05,Gold,Fuel,F,165621,2014,1,5,6,1,3,0,3,0,10,0
17245,Adoni,2014-02-09,Silver,Fuel,F,273056,2014,2,9,6,1,3,3,3,0,10,0
16457,Adoni,2014-02-15,Gold,Bills,M,239411,2014,2,15,5,1,3,0,0,1,10,0
19249,Adoni,2014-03-06,Signature,Bills,F,169621,2014,3,6,3,0,3,2,0,0,10,0
19488,Adoni,2014-07-23,Signature,Bills,M,225241,2014,7,23,2,0,3,2,0,1,11,0
16277,Adoni,2014-07-30,Gold,Grocery,F,225600,2014,7,30,2,0,3,0,4,0,11,0
14613,Adoni,2015-01-25,Platinum,Grocery,F,40082,2015,1,25,6,1,3,1,4,0,12,0
15817,Adoni,2015-05-01,Silver,Food,F,119762,2015,5,1,4,0,3,3,2,0,13,0
16876,Adoor,2013-10-10,Platinum,Food,M,11990,2013,10,10,3,0,4,1,2,1,14,0
18012,Adoor,2013-10-20,Signature,Food,M,68185,2013,10,20,6,1,4,2,2,1,14,0
15304,Adoor,2014-04-20,Platinum,Fuel,M,250113,2014,4,20,6,1,4,1,3,1,15,0
19860,Adoor,2014-05-22,Gold,Bills,F,6536,2014,5,22,3,0,4,0,0,0,15,0
17539,Adoor,2014-07-07,Signature,Fuel,F,231891,2014,7,7,0,0,4,2,3,0,15,0
17787,Adoor,2014-11-01,Signature,Fuel,F,70066,2014,11,1,5,1,4,2,3,0,16,0
19524,Adoor,2015-01-26,Silver,Entertainment,F,8944,2015,1,26,0,0,4,3,1,0,16,0
17967,Afzalpur,2013-12-12,Signature,Bills,F,192524,2013,12,12,3,0,5,2,0,0,17,0
16561,Afzalpur,2014-06-01,Gold,Bills,F,4354,2014,6,1,6,1,5,0,0,0,18,0
15939,Afzalpur,2014-06-10,Gold,Entertainment,M,11026,2014,6,10,1,0,5,0,1,1,18,0
14241,Afzalpur,2014-11-07,Signature,Food,M,3542,2014,11,7,4,0,5,2,2,1,19,0
14447,Afzalpur,2014-12-19,Platinum,Entertainment,M,64737,2014,12,19,4,0,5,1,1,1,19,0
17854,Afzalpur,2014-12-28,Gold,Fuel,F,103742,2014,12,28,6,1,5,0,3,0,19,0
19664,Afzalpur,2015-03-05,Signature,Fuel,F,160661,2015,3,5,3,0,5,2,3,0,19,0
19401,Afzalpur,2015-03-07,Signature,Entertainment,F,107379,2015,3,7,5,1,5,2,1,0,19,0
17063,Afzalpur,2015-05-02,Gold,Food,M,60228,2015,5,2,5,1,5,0,2,1,19,0
16198,Afzalpur,2015-05-25,Platinum,Grocery,F,156617,2015,5,25,0,0,5,1,4,0,19,0
19705,Agartala,2013-11-08,Silver,Food,M,31837,2013,11,8,4,0,6,3,2,1,20,0
15795,Agartala,2014-03-05,Platinum,Grocery,M,54469,2014,3,5,2,0,6,1,4,1,21,0
14944,Agartala,2014-05-19,Silver,Grocery,M,261388,2014,5,19,0,0,6,3,4,1,21,0
15393,Agartala,2014-10-30,Silver,Entertainment,M,288868,2014,10,30,3,0,6,3,1,1,22,0
15661,Agra,2014-12-14,Platinum,Bills,M,156141,2014,12,14,6,1,7,1,0,1,23,0
14562,Agra,2015-01-25,Platinum,Grocery,M,129754,2015,1,25,6,1,7,1,4,1,23,0
831,Ahmedabad,2013-10-04,Silver,Entertainment,F,240666,2013,10,4,4,0,8,3,1,0,24,0
1866,Ahmedabad,2013-10-04,Gold,Entertainment,F,78098,2013,10,4,4,0,8,0,1,0,25,0
4104,Ahmedabad,2013-10-04,Silver,Entertainment,M,296021,2013,10,4,4,0,8,3,1,1,26,0
4970,Ahmedabad,2013-10-04,Silver,Entertainment,F,17168,2013,10,4,4,0,8,3,1,0,27,0
6379,Ahmedabad,2013-10-04,Silver,Food,M,116904,2013,10,4,4,0,8,3,2,1,28,0
9418,Ahmedabad,2013-10-04,Silver,Entertainment,M,89155,2013,10,4,4,0,8,3,1,1,29,0
190,Ahmedabad,2013-10-05,Platinum,Bills,F,612572,2013,10,5,5,1,8,1,0,0,29,0
3456,Ahmedabad,2013-10-05,Signature,Grocery,M,20999,2013,10,5,5,1,8,2,4,1,30,0
